CHR_ID	START	END	SNPS	DISEASE/TRAIT	celltype	MAPPED_GENE
chr2	60483435	60483436	rs13019832	Intelligence	CN_VIP_GABA.hyper.dmr.bed	BCL11A
chr2	65532536	65532537	rs3911862	Bipolar disorder	CN_VIP_GABA.hyper.dmr.bed	LINC02934
chr2	161104413	161104414	rs7591506	Intelligence	CN_VIP_GABA.hyper.dmr.bed	TANK-AS1
chr2	165295878	165295879	rs17183814	Bipolar disorder	CN_VIP_GABA.hyper.dmr.bed	SCN2A
chr2	165295878	165295879	rs17183814	Bipolar disorder	CN_VIP_GABA.hyper.dmr.bed	SCN2A
chr22	41974986	41974987	rs5751191	Intelligence	CN_VIP_GABA.hyper.dmr.bed	SEPTIN3
chr3	36814538	36814539	rs9834970	Bipolar disorder	CN_VIP_GABA.hyper.dmr.bed	HSPD1P6 - LINC02033
chr3	36814538	36814539	rs9834970	Bipolar disorder	CN_VIP_GABA.hyper.dmr.bed	HSPD1P6 - LINC02033
chr3	48694053	48694054	rs3172494	Educational attainment (years of education)	CN_VIP_GABA.hyper.dmr.bed	IP6K2
chr3	54200694	54200695	rs4485754	Intelligence	CN_VIP_GABA.hyper.dmr.bed	CACNA2D3
chr4	67104382	67104383	rs6819372	Intelligence	CN_VIP_GABA.hyper.dmr.bed	RNU6-699P - RNU1-63P
chr4	113447908	113447909	rs13117519	Parkinson's disease or first degree relation to individual with Parkinson's disease	CN_VIP_GABA.hyper.dmr.bed	CAMK2D
chr6	20893015	20893016	rs6456379	Intelligence	CN_VIP_GABA.hyper.dmr.bed	CDKAL1
chr6	75826615	75826616	rs1280049	Intelligence	CN_VIP_GABA.hyper.dmr.bed	MYO6
chr6	98004803	98004804	rs9401452	Intelligence	CN_VIP_GABA.hyper.dmr.bed	MMS22L - MIR2113
chr6	108622961	108622962	rs3813498	Intelligence	CN_VIP_GABA.hyper.dmr.bed	FOXO3
chr6	152472436	152472437	rs4331993	Bipolar disorder	CN_VIP_GABA.hyper.dmr.bed	SYNE1
chr6	152472436	152472437	rs4331993	Bipolar disorder	CN_VIP_GABA.hyper.dmr.bed	SYNE1
chr7	32453556	32453557	rs1580019	Intelligence	CN_VIP_GABA.hyper.dmr.bed	PDE1C - SLC25A5P5
chr7	44795553	44795554	rs4720485	Intelligence	CN_VIP_GABA.hyper.dmr.bed	ZMIZ2 - PPIA
chr7	86665635	86665636	rs802425	Neuroticism	CN_VIP_GABA.hyper.dmr.bed	GRM3
chr7	100479649	100479650	rs2406253	Educational attainment (years of education)	CN_VIP_GABA.hyper.dmr.bed	TSC22D4 - NYAP1
chr7	100479649	100479650	rs2406253	Educational attainment (years of education)	CN_VIP_GABA.hyper.dmr.bed	TSC22D4 - NYAP1
chr7	127898505	127898506	rs3757771	Intelligence	CN_VIP_GABA.hyper.dmr.bed	SND1
chr7	143413668	143413669	rs11771145	Alzheimer's disease or family history of Alzheimer's disease	CN_VIP_GABA.hyper.dmr.bed	EPHA1-AS1
chr7	143413668	143413669	rs11771145	Alzheimer's disease (late onset)	CN_VIP_GABA.hyper.dmr.bed	EPHA1-AS1
chr7	143413668	143413669	rs11771145	Alzheimer's disease	CN_VIP_GABA.hyper.dmr.bed	EPHA1-AS1
chr9	131835213	131835214	rs2987390	Intelligence	CN_VIP_GABA.hyper.dmr.bed	EIF4A1P3 - MED27
chr16	28826193	28826194	rs8049439	Educational attainment (years of education)	STR_Hybrid_MSN.hyper.dmr.bed	ATXN2L
chr2	100260907	100260908	rs2067783	Intelligence	STR_Hybrid_MSN.hyper.dmr.bed	LINC01104 - LONRF2
chr1	36777141	36777142	rs490647	Neuroticism	STR_D1_MSN.hyper.dmr.bed	FTLP18 - GRIK3
chr1	41364413	41364414	rs56044892	Educational attainment (years of education)	STR_D1_MSN.hyper.dmr.bed	FOXO6
chr1	161185601	161185602	rs4575098	Alzheimer's disease or family history of Alzheimer's disease	STR_D1_MSN.hyper.dmr.bed	ADAMTS4
chr1	161185601	161185602	rs4575098	Family history of Alzheimer's disease	STR_D1_MSN.hyper.dmr.bed	ADAMTS4
chr16	24755519	24755520	rs34172651	Intelligence	STR_D1_MSN.hyper.dmr.bed	TNRC6A
chr16	28826193	28826194	rs8049439	Educational attainment (years of education)	STR_D1_MSN.hyper.dmr.bed	ATXN2L
chr16	30010080	30010081	rs1140239	Alzheimer's disease	STR_D1_MSN.hyper.dmr.bed	DOC2A
chr17	1932187	1932188	rs4790841	Bipolar disorder	STR_D1_MSN.hyper.dmr.bed	RPA1 - RTN4RL1
chr17	46144469	46144470	rs2696589	Neuroticism	STR_D1_MSN.hyper.dmr.bed	KANSL1
chr17	46655448	46655449	rs199491	Neuroticism	STR_D1_MSN.hyper.dmr.bed	NSF
chr17	52508537	52508538	rs16951547	Intelligence	STR_D1_MSN.hyper.dmr.bed	LINC01982
chr2	100260907	100260908	rs2067783	Intelligence	STR_D1_MSN.hyper.dmr.bed	LINC01104 - LONRF2
chr6	111858434	111858435	rs17073012	Bipolar disorder	STR_D1_MSN.hyper.dmr.bed	FYN
chr8	27608797	27608798	rs1532278	Late-onset Alzheimer's disease	STR_D1_MSN.hyper.dmr.bed	CLU
chr8	27608797	27608798	rs1532278	Family history of Alzheimer's disease	STR_D1_MSN.hyper.dmr.bed	CLU
chr1	36737165	36737166	rs570399	Neuroticism	STR_Hybrid_MSN.hypo.dmr.bed	FTLP18 - GRIK3
chr1	41364413	41364414	rs56044892	Educational attainment (years of education)	STR_Hybrid_MSN.hypo.dmr.bed	FOXO6
chr1	43548608	43548609	rs2842188	Intelligence	STR_Hybrid_MSN.hypo.dmr.bed	PTPRF
chr1	43668405	43668406	rs3791033	Problematic opioid prescription use	STR_Hybrid_MSN.hypo.dmr.bed	KDM4A
chr1	207803737	207803738	rs7523273	Schizophrenia	STR_Hybrid_MSN.hypo.dmr.bed	MIR29B2CHG
chr10	104708094	104708095	rs3896224	Intelligence	STR_Hybrid_MSN.hypo.dmr.bed	SORCS3
chr11	15509461	15509462	rs77015885	Bipolar disorder	STR_Hybrid_MSN.hypo.dmr.bed	INSC - LINC02751
chr11	57680559	57680560	rs10896636	Neuroticism	STR_Hybrid_MSN.hypo.dmr.bed	ZDHHC5
chr11	61752513	61752514	rs2956395	Bipolar disorder	STR_Hybrid_MSN.hypo.dmr.bed	MYRF-AS1
chr11	88959904	88959905	rs604551	Neuroticism	STR_Hybrid_MSN.hypo.dmr.bed	GRM5
chr11	109507344	109507345	rs12421382	Schizophrenia	STR_Hybrid_MSN.hypo.dmr.bed	LINC02715
chr11	123523927	123523928	rs77502336	Schizophrenia	STR_Hybrid_MSN.hypo.dmr.bed	GRAMD1B
chr11	124744060	124744061	rs55661361	Autism and schizophrenia (MTAG)	STR_Hybrid_MSN.hypo.dmr.bed	NRGN
chr11	124744060	124744061	rs55661361	Schizophrenia	STR_Hybrid_MSN.hypo.dmr.bed	NRGN
chr12	48991915	48991916	rs146865992	Intelligence	STR_Hybrid_MSN.hypo.dmr.bed	WNT1 - DDN
chr14	52924961	52924962	rs17125924	Alzheimer's disease	STR_Hybrid_MSN.hypo.dmr.bed	FERMT2
chr15	40430581	40430582	rs11634187	Intelligence	STR_Hybrid_MSN.hypo.dmr.bed	IVD
chr15	47394464	47394465	rs281302	Educational attainment (years of education)	STR_Hybrid_MSN.hypo.dmr.bed	SEMA6D
chr18	37784133	37784134	rs12961969	Neuroticism	STR_Hybrid_MSN.hypo.dmr.bed	RPL12P40 - RN7SKP182
chr18	53423031	53423032	rs13381096	Intelligence	STR_Hybrid_MSN.hypo.dmr.bed	DCC
chr18	62576642	62576643	rs11557713	Bipolar disorder	STR_Hybrid_MSN.hypo.dmr.bed	ZCCHC2
chr19	1066626	1066627	rs112131072	Alzheimer's disease	STR_Hybrid_MSN.hypo.dmr.bed	ARHGAP45
chr19	44881673	44881674	rs79701229	Alzheimer's disease or family history of Alzheimer's disease	STR_Hybrid_MSN.hypo.dmr.bed	NECTIN2
chr19	44910318	44910319	rs75627662	Family history of Alzheimer's disease	STR_Hybrid_MSN.hypo.dmr.bed	APOE - APOC1
chr19	44960128	44960129	rs116949436	Alzheimer's disease or family history of Alzheimer's disease	STR_Hybrid_MSN.hypo.dmr.bed	CLPTM1
chr19	44960140	44960141	rs576651896	Alzheimer's disease or family history of Alzheimer's disease	STR_Hybrid_MSN.hypo.dmr.bed	CLPTM1
chr2	23711945	23711946	rs12470949	Intelligence	STR_Hybrid_MSN.hypo.dmr.bed	KLHL29 - ATAD2B
chr2	27843254	27843255	rs74446114	Bipolar disorder	STR_Hybrid_MSN.hypo.dmr.bed	RBKS, MRPL33
chr2	161235324	161235325	rs3754970	Intelligence	STR_Hybrid_MSN.hypo.dmr.bed	PSMD14-DT, TANK
chr2	165295878	165295879	rs17183814	Bipolar disorder	STR_Hybrid_MSN.hypo.dmr.bed	SCN2A
chr2	165295878	165295879	rs17183814	Bipolar disorder	STR_Hybrid_MSN.hypo.dmr.bed	SCN2A
chr22	40757874	40757875	rs5758064	Bipolar disorder	STR_Hybrid_MSN.hypo.dmr.bed	MCHR1 - SLC25A17
chr22	41974986	41974987	rs5751191	Intelligence	STR_Hybrid_MSN.hypo.dmr.bed	SEPTIN3
chr3	23973648	23973649	rs28522849	Intelligence	STR_Hybrid_MSN.hypo.dmr.bed	NR1D2
chr3	36814538	36814539	rs9834970	Bipolar disorder	STR_Hybrid_MSN.hypo.dmr.bed	HSPD1P6 - LINC02033
chr3	36814538	36814539	rs9834970	Bipolar disorder	STR_Hybrid_MSN.hypo.dmr.bed	HSPD1P6 - LINC02033
chr3	48694053	48694054	rs3172494	Educational attainment (years of education)	STR_Hybrid_MSN.hypo.dmr.bed	IP6K2
chr3	54200694	54200695	rs4485754	Intelligence	STR_Hybrid_MSN.hypo.dmr.bed	CACNA2D3
chr3	108384585	108384586	rs3860537	Intelligence	STR_Hybrid_MSN.hypo.dmr.bed	MYH15
chr4	113447908	113447909	rs13117519	Parkinson's disease or first degree relation to individual with Parkinson's disease	STR_Hybrid_MSN.hypo.dmr.bed	CAMK2D
chr5	61664899	61664900	rs36033	Intelligence	STR_Hybrid_MSN.hypo.dmr.bed	LINC03122
chr5	120766332	120766333	rs62379838	Educational attainment (years of education)	STR_Hybrid_MSN.hypo.dmr.bed	RNU4-69P - RPL23AP44
chr6	13775674	13775675	rs6459098	Intelligence	STR_Hybrid_MSN.hypo.dmr.bed	RANBP9 - MCUR1
chr6	20893015	20893016	rs6456379	Intelligence	STR_Hybrid_MSN.hypo.dmr.bed	CDKAL1
chr6	75826615	75826616	rs1280049	Intelligence	STR_Hybrid_MSN.hypo.dmr.bed	MYO6
chr6	97849955	97849956	rs1933720	Intelligence	STR_Hybrid_MSN.hypo.dmr.bed	MMS22L - MIR2113
chr6	108622961	108622962	rs3813498	Intelligence	STR_Hybrid_MSN.hypo.dmr.bed	FOXO3
chr7	100479649	100479650	rs2406253	Educational attainment (years of education)	STR_Hybrid_MSN.hypo.dmr.bed	TSC22D4 - NYAP1
chr7	114264005	114264006	rs11771168	Educational attainment (years of education)	STR_Hybrid_MSN.hypo.dmr.bed	FOXP2
chr7	127898505	127898506	rs3757771	Intelligence	STR_Hybrid_MSN.hypo.dmr.bed	SND1
chr7	133370848	133370849	rs6973256	Intelligence	STR_Hybrid_MSN.hypo.dmr.bed	EXOC4
chr7	143413668	143413669	rs11771145	Alzheimer's disease or family history of Alzheimer's disease	STR_Hybrid_MSN.hypo.dmr.bed	EPHA1-AS1
chr7	143413668	143413669	rs11771145	Alzheimer's disease (late onset)	STR_Hybrid_MSN.hypo.dmr.bed	EPHA1-AS1
chr7	143413668	143413669	rs11771145	Alzheimer's disease	STR_Hybrid_MSN.hypo.dmr.bed	EPHA1-AS1
chr8	4323321	4323322	rs10503253	Schizophrenia	STR_Hybrid_MSN.hypo.dmr.bed	CSMD1
chr8	5080234	5080235	rs2407746	Neuroticism	STR_Hybrid_MSN.hypo.dmr.bed	CSMD1 - SNORA70
chr9	85391422	85391423	rs17425572	Educational attainment (years of education)	STR_Hybrid_MSN.hypo.dmr.bed	UBE2V1P10 - STK33P1
chr9	93291645	93291646	rs1889339	Bipolar disorder	STR_Hybrid_MSN.hypo.dmr.bed	WNK2
chr9	131835213	131835214	rs2987390	Intelligence	STR_Hybrid_MSN.hypo.dmr.bed	EIF4A1P3 - MED27
chr1	36777141	36777142	rs490647	Neuroticism	CN_LHX8_GABA.hypo.dmr.bed	FTLP18 - GRIK3
chr1	41364413	41364414	rs56044892	Educational attainment (years of education)	CN_LHX8_GABA.hypo.dmr.bed	FOXO6
chr1	161185601	161185602	rs4575098	Alzheimer's disease or family history of Alzheimer's disease	CN_LHX8_GABA.hypo.dmr.bed	ADAMTS4
chr1	161185601	161185602	rs4575098	Family history of Alzheimer's disease	CN_LHX8_GABA.hypo.dmr.bed	ADAMTS4
chr11	64242406	64242407	rs4672	Bipolar disorder	CN_LHX8_GABA.hypo.dmr.bed	FKBP2
chr16	28826193	28826194	rs8049439	Educational attainment (years of education)	CN_LHX8_GABA.hypo.dmr.bed	ATXN2L
chr17	52508537	52508538	rs16951547	Intelligence	CN_LHX8_GABA.hypo.dmr.bed	LINC01982
chr2	23711945	23711946	rs12470949	Intelligence	CN_LHX8_GABA.hypo.dmr.bed	KLHL29 - ATAD2B
chr2	60483435	60483436	rs13019832	Intelligence	CN_LHX8_GABA.hypo.dmr.bed	BCL11A
chr2	147861184	147861185	rs7582403	Neuroticism	CN_LHX8_GABA.hypo.dmr.bed	ACVR2A
chr4	182245315	182245316	rs7696796	Neuroticism	CN_LHX8_GABA.hypo.dmr.bed	TENM3
chr7	128769957	128769958	rs1043595	Intelligence	CN_LHX8_GABA.hypo.dmr.bed	CALU
chr8	27608797	27608798	rs1532278	Late-onset Alzheimer's disease	CN_LHX8_GABA.hypo.dmr.bed	CLU
chr8	27608797	27608798	rs1532278	Family history of Alzheimer's disease	CN_LHX8_GABA.hypo.dmr.bed	CLU
chr1	36777141	36777142	rs490647	Neuroticism	CN_Cholinergic_GABA.hypo.dmr.bed	FTLP18 - GRIK3
chr1	41364413	41364414	rs56044892	Educational attainment (years of education)	CN_Cholinergic_GABA.hypo.dmr.bed	FOXO6
chr1	43563681	43563682	rs11210871	Intelligence	CN_Cholinergic_GABA.hypo.dmr.bed	PTPRF
chr1	161185601	161185602	rs4575098	Alzheimer's disease or family history of Alzheimer's disease	CN_Cholinergic_GABA.hypo.dmr.bed	ADAMTS4
chr1	161185601	161185602	rs4575098	Family history of Alzheimer's disease	CN_Cholinergic_GABA.hypo.dmr.bed	ADAMTS4
chr15	47394464	47394465	rs281302	Educational attainment (years of education)	CN_Cholinergic_GABA.hypo.dmr.bed	SEMA6D
chr15	77707093	77707094	rs11072662	Neuroticism	CN_Cholinergic_GABA.hypo.dmr.bed	LINGO1
chr16	28826193	28826194	rs8049439	Educational attainment (years of education)	CN_Cholinergic_GABA.hypo.dmr.bed	ATXN2L
chr16	30010080	30010081	rs1140239	Alzheimer's disease	CN_Cholinergic_GABA.hypo.dmr.bed	DOC2A
chr2	23711945	23711946	rs12470949	Intelligence	CN_Cholinergic_GABA.hypo.dmr.bed	KLHL29 - ATAD2B
chr2	43889696	43889697	rs2955280	Intelligence	CN_Cholinergic_GABA.hypo.dmr.bed	LRPPRC
chr3	54200694	54200695	rs4485754	Intelligence	CN_Cholinergic_GABA.hypo.dmr.bed	CACNA2D3
chr7	1856776	1856777	rs4236274	Bipolar disorder	CN_Cholinergic_GABA.hypo.dmr.bed	MAD1L1
chr7	32453556	32453557	rs1580019	Intelligence	CN_Cholinergic_GABA.hypo.dmr.bed	PDE1C - SLC25A5P5
chr8	5080234	5080235	rs2407746	Neuroticism	CN_Cholinergic_GABA.hypo.dmr.bed	CSMD1 - SNORA70
chr8	27608797	27608798	rs1532278	Late-onset Alzheimer's disease	CN_Cholinergic_GABA.hypo.dmr.bed	CLU
chr8	27608797	27608798	rs1532278	Family history of Alzheimer's disease	CN_Cholinergic_GABA.hypo.dmr.bed	CLU
chr9	23805570	23805571	rs702222	Intelligence	CN_Cholinergic_GABA.hypo.dmr.bed	ELAVL2
chr9	27543383	27543384	rs3849943	Amyotrophic lateral sclerosis	CN_Cholinergic_GABA.hypo.dmr.bed	EMICERI, C9orf72
chr1	207803737	207803738	rs7523273	Schizophrenia	CN_LHX8_GABA.hyper.dmr.bed	MIR29B2CHG
chr11	57680559	57680560	rs10896636	Neuroticism	CN_LHX8_GABA.hyper.dmr.bed	ZDHHC5
chr11	124744060	124744061	rs55661361	Autism and schizophrenia (MTAG)	CN_LHX8_GABA.hyper.dmr.bed	NRGN
chr11	124744060	124744061	rs55661361	Schizophrenia	CN_LHX8_GABA.hyper.dmr.bed	NRGN
chr12	48991915	48991916	rs146865992	Intelligence	CN_LHX8_GABA.hyper.dmr.bed	WNT1 - DDN
chr13	68796168	68796169	rs7999314	Neuroticism	CN_LHX8_GABA.hyper.dmr.bed	RN7SL761P - LINC00550
chr14	43505793	43505794	rs62002181	Bipolar disorder	CN_LHX8_GABA.hyper.dmr.bed	HNRNPUP1 - KRT8P2
chr15	40430581	40430582	rs11634187	Intelligence	CN_LHX8_GABA.hyper.dmr.bed	IVD
chr17	49219934	49219935	rs616338	Alzheimer's disease	CN_LHX8_GABA.hyper.dmr.bed	ABI3
chr18	37784133	37784134	rs12961969	Neuroticism	CN_LHX8_GABA.hyper.dmr.bed	RPL12P40 - RN7SKP182
chr19	58578895	58578896	rs73068339	Intelligence	CN_LHX8_GABA.hyper.dmr.bed	MZF1-AS1
chr2	65532536	65532537	rs3911862	Bipolar disorder	CN_LHX8_GABA.hyper.dmr.bed	LINC02934
chr2	161104413	161104414	rs7591506	Intelligence	CN_LHX8_GABA.hyper.dmr.bed	TANK-AS1
chr22	41974986	41974987	rs5751191	Intelligence	CN_LHX8_GABA.hyper.dmr.bed	SEPTIN3
chr3	36814538	36814539	rs9834970	Bipolar disorder	CN_LHX8_GABA.hyper.dmr.bed	HSPD1P6 - LINC02033
chr3	36814538	36814539	rs9834970	Bipolar disorder	CN_LHX8_GABA.hyper.dmr.bed	HSPD1P6 - LINC02033
chr3	54200694	54200695	rs4485754	Intelligence	CN_LHX8_GABA.hyper.dmr.bed	CACNA2D3
chr4	113447908	113447909	rs13117519	Parkinson's disease or first degree relation to individual with Parkinson's disease	CN_LHX8_GABA.hyper.dmr.bed	CAMK2D
chr4	175705120	175705121	rs12640626	Educational attainment (years of education)	CN_LHX8_GABA.hyper.dmr.bed	GPM6A
chr6	20893015	20893016	rs6456379	Intelligence	CN_LHX8_GABA.hyper.dmr.bed	CDKAL1
chr6	75826615	75826616	rs1280049	Intelligence	CN_LHX8_GABA.hyper.dmr.bed	MYO6
chr6	98004803	98004804	rs9401452	Intelligence	CN_LHX8_GABA.hyper.dmr.bed	MMS22L - MIR2113
chr6	108622961	108622962	rs3813498	Intelligence	CN_LHX8_GABA.hyper.dmr.bed	FOXO3
chr7	127898505	127898506	rs3757771	Intelligence	CN_LHX8_GABA.hyper.dmr.bed	SND1
chr7	143413668	143413669	rs11771145	Alzheimer's disease or family history of Alzheimer's disease	CN_LHX8_GABA.hyper.dmr.bed	EPHA1-AS1
chr7	143413668	143413669	rs11771145	Alzheimer's disease (late onset)	CN_LHX8_GABA.hyper.dmr.bed	EPHA1-AS1
chr7	143413668	143413669	rs11771145	Alzheimer's disease	CN_LHX8_GABA.hyper.dmr.bed	EPHA1-AS1
chr9	131835213	131835214	rs2987390	Intelligence	CN_LHX8_GABA.hyper.dmr.bed	EIF4A1P3 - MED27
chr1	161185601	161185602	rs4575098	Alzheimer's disease or family history of Alzheimer's disease	CN_LAMP5-LHX6_GABA.hypo.dmr.bed	ADAMTS4
chr1	161185601	161185602	rs4575098	Family history of Alzheimer's disease	CN_LAMP5-LHX6_GABA.hypo.dmr.bed	ADAMTS4
chr10	15515406	15515407	rs896435	Parkinson's disease or first degree relation to individual with Parkinson's disease	CN_LAMP5-LHX6_GABA.hypo.dmr.bed	ITGA8
chr11	61851135	61851136	rs174592	Bipolar disorder	CN_LAMP5-LHX6_GABA.hypo.dmr.bed	FADS2
chr13	105987506	105987507	rs2251499	Intelligence	CN_LAMP5-LHX6_GABA.hypo.dmr.bed	LINC00343 - RNA5SP38
chr14	54882150	54882151	rs11158026	Parkinson's disease or first degree relation to individual with Parkinson's disease	CN_LAMP5-LHX6_GABA.hypo.dmr.bed	GCH1
chr16	9832490	9832491	rs7199910	Bipolar disorder	CN_LAMP5-LHX6_GABA.hypo.dmr.bed	GRIN2A
chr16	24755519	24755520	rs34172651	Intelligence	CN_LAMP5-LHX6_GABA.hypo.dmr.bed	TNRC6A
chr16	70660096	70660097	rs4985556	Alzheimer's disease	CN_LAMP5-LHX6_GABA.hypo.dmr.bed	IL34
chr17	1932187	1932188	rs4790841	Bipolar disorder	CN_LAMP5-LHX6_GABA.hypo.dmr.bed	RPA1 - RTN4RL1
chr17	28392768	28392769	rs35714695	Amyotrophic lateral sclerosis	CN_LAMP5-LHX6_GABA.hypo.dmr.bed	SARM1
chr17	44216968	44216969	rs2269906	Parkinson's disease or first degree relation to individual with Parkinson's disease	CN_LAMP5-LHX6_GABA.hypo.dmr.bed	ATXN7L3-AS1, UBTF
chr17	46144469	46144470	rs2696589	Neuroticism	CN_LAMP5-LHX6_GABA.hypo.dmr.bed	KANSL1
chr17	52508537	52508538	rs16951547	Intelligence	CN_LAMP5-LHX6_GABA.hypo.dmr.bed	LINC01982
chr17	55290102	55290103	rs884301	Bipolar disorder	CN_LAMP5-LHX6_GABA.hypo.dmr.bed	HLF
chr19	44634021	44634022	rs539159088	Alzheimer's disease or family history of Alzheimer's disease	CN_LAMP5-LHX6_GABA.hypo.dmr.bed	CEACAM16-AS1, IGSF23
chr2	60483435	60483436	rs13019832	Intelligence	CN_LAMP5-LHX6_GABA.hypo.dmr.bed	BCL11A
chr2	105749598	105749599	rs143080277	Alzheimer's disease	CN_LAMP5-LHX6_GABA.hypo.dmr.bed	NCK2
chr3	180084125	180084126	rs191580074	Bipolar disorder	CN_LAMP5-LHX6_GABA.hypo.dmr.bed	PEX5L - RNA5SP149
chr4	102204331	102204332	rs1506505	Intelligence	CN_LAMP5-LHX6_GABA.hypo.dmr.bed	BANK1 - SLC39A8
chr5	15113629	15113630	rs77626951	Bipolar disorder	CN_LAMP5-LHX6_GABA.hypo.dmr.bed	LINC02149
chr5	88749211	88749212	rs10514303	Intelligence	CN_LAMP5-LHX6_GABA.hypo.dmr.bed	MEF2C, MEF2C-AS2
chr5	111669293	111669294	rs255892	Intelligence	CN_LAMP5-LHX6_GABA.hypo.dmr.bed	NREP, STARD4-AS1
chr7	1856776	1856777	rs4236274	Bipolar disorder	CN_LAMP5-LHX6_GABA.hypo.dmr.bed	MAD1L1
chr7	99934131	99934132	rs148490894	Educational attainment (years of education)	CN_LAMP5-LHX6_GABA.hypo.dmr.bed	GJC3 - Y_RNA
chr7	128769957	128769958	rs1043595	Intelligence	CN_LAMP5-LHX6_GABA.hypo.dmr.bed	CALU
chr8	27608797	27608798	rs1532278	Late-onset Alzheimer's disease	CN_LAMP5-LHX6_GABA.hypo.dmr.bed	CLU
chr8	27608797	27608798	rs1532278	Family history of Alzheimer's disease	CN_LAMP5-LHX6_GABA.hypo.dmr.bed	CLU
chr9	85391422	85391423	rs17425572	Educational attainment (years of education)	CN_LAMP5-LHX6_GABA.hypo.dmr.bed	UBE2V1P10 - STK33P1
chr16	24755519	24755520	rs34172651	Intelligence	CN_ONECUT1_GABA.hypo.dmr.bed	TNRC6A
chr16	28826193	28826194	rs8049439	Educational attainment (years of education)	CN_ONECUT1_GABA.hypo.dmr.bed	ATXN2L
chr17	52508537	52508538	rs16951547	Intelligence	CN_ONECUT1_GABA.hypo.dmr.bed	LINC01982
chr19	45045876	45045877	rs112481437	Alzheimer's disease or family history of Alzheimer's disease	CN_ONECUT1_GABA.hypo.dmr.bed	CLASRP
chr19	46351483	46351484	rs534666677	Neuroticism	CN_ONECUT1_GABA.hypo.dmr.bed	PPP5C
chr2	43889696	43889697	rs2955280	Intelligence	CN_ONECUT1_GABA.hypo.dmr.bed	LRPPRC
chr2	71455659	71455660	rs12479238	Intelligence	CN_ONECUT1_GABA.hypo.dmr.bed	DYSF
chr2	100260907	100260908	rs2067783	Intelligence	CN_ONECUT1_GABA.hypo.dmr.bed	LINC01104 - LONRF2
chr3	108074861	108074862	rs3804640	Bipolar disorder	CN_ONECUT1_GABA.hypo.dmr.bed	CD47
chr4	105223577	105223578	rs6839705	Educational attainment (years of education)	CN_ONECUT1_GABA.hypo.dmr.bed	TET2, TET2-AS1
chr7	114264005	114264006	rs11771168	Educational attainment (years of education)	CN_ONECUT1_GABA.hypo.dmr.bed	FOXP2
chr8	27608797	27608798	rs1532278	Late-onset Alzheimer's disease	CN_ONECUT1_GABA.hypo.dmr.bed	CLU
chr8	27608797	27608798	rs1532278	Family history of Alzheimer's disease	CN_ONECUT1_GABA.hypo.dmr.bed	CLU
chr9	23805570	23805571	rs702222	Intelligence	CN_ONECUT1_GABA.hypo.dmr.bed	ELAVL2
chr1	207803737	207803738	rs7523273	Schizophrenia	F_GABA.hyper.dmr.bed	MIR29B2CHG
chr11	47370396	47370397	rs10437655	Alzheimer's disease	F_GABA.hyper.dmr.bed	SPI1
chr11	57680559	57680560	rs10896636	Neuroticism	F_GABA.hyper.dmr.bed	ZDHHC5
chr11	124744060	124744061	rs55661361	Autism and schizophrenia (MTAG)	F_GABA.hyper.dmr.bed	NRGN
chr11	124744060	124744061	rs55661361	Schizophrenia	F_GABA.hyper.dmr.bed	NRGN
chr15	40430581	40430582	rs11634187	Intelligence	F_GABA.hyper.dmr.bed	IVD
chr16	9136958	9136959	rs28455634	Bipolar disorder	F_GABA.hyper.dmr.bed	HAPSTR1 - RPL21P119
chr19	58578895	58578896	rs73068339	Intelligence	F_GABA.hyper.dmr.bed	MZF1-AS1
chr2	161104413	161104414	rs7591506	Intelligence	F_GABA.hyper.dmr.bed	TANK-AS1
chr3	54200694	54200695	rs4485754	Intelligence	F_GABA.hyper.dmr.bed	CACNA2D3
chr4	113447908	113447909	rs13117519	Parkinson's disease or first degree relation to individual with Parkinson's disease	F_GABA.hyper.dmr.bed	CAMK2D
chr4	175705120	175705121	rs12640626	Educational attainment (years of education)	F_GABA.hyper.dmr.bed	GPM6A
chr6	75826615	75826616	rs1280049	Intelligence	F_GABA.hyper.dmr.bed	MYO6
chr6	98004803	98004804	rs9401452	Intelligence	F_GABA.hyper.dmr.bed	MMS22L - MIR2113
chr6	108622961	108622962	rs3813498	Intelligence	F_GABA.hyper.dmr.bed	FOXO3
chr7	32453556	32453557	rs1580019	Intelligence	F_GABA.hyper.dmr.bed	PDE1C - SLC25A5P5
chr7	127898505	127898506	rs3757771	Intelligence	F_GABA.hyper.dmr.bed	SND1
chr7	143413668	143413669	rs11771145	Alzheimer's disease or family history of Alzheimer's disease	F_GABA.hyper.dmr.bed	EPHA1-AS1
chr7	143413668	143413669	rs11771145	Alzheimer's disease (late onset)	F_GABA.hyper.dmr.bed	EPHA1-AS1
chr7	143413668	143413669	rs11771145	Alzheimer's disease	F_GABA.hyper.dmr.bed	EPHA1-AS1
chr9	131835213	131835214	rs2987390	Intelligence	F_GABA.hyper.dmr.bed	EIF4A1P3 - MED27
chr1	161185601	161185602	rs4575098	Alzheimer's disease or family history of Alzheimer's disease	F_Glut.hypo.dmr.bed	ADAMTS4
chr1	161185601	161185602	rs4575098	Family history of Alzheimer's disease	F_Glut.hypo.dmr.bed	ADAMTS4
chr11	47370396	47370397	rs10437655	Alzheimer's disease	F_Glut.hypo.dmr.bed	SPI1
chr11	64242406	64242407	rs4672	Bipolar disorder	F_Glut.hypo.dmr.bed	FKBP2
